,circulating_supply,cmc_rank,date_added,id,last_updated,max_supply,name,num_market_pairs,platform,platform.id,platform.name,platform.slug,platform.symbol,quote.USD.last_updated,quote.USD.market_cap,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.price,quote.USD.volume_24h,slug,symbol,tags,total_supply
460,92185609.2039111,461,2017-10-17T00:00:00.000Z,2061,2018-12-09T00:53:16.000Z,,BlockMason Credit Protocol,9,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:16.000Z,2877996.1197012495,-4.37296,-0.362491,-27.2937,0.0312195812834,164549.315813121,blockmason,BCPT,[],116158667.0
461,1050000.0,462,2018-10-01T00:00:00.000Z,3366,2018-12-09T00:53:34.000Z,21000000.0,SafeInsure,3,,,,,,2018-12-09T00:53:34.000Z,2862236.1329625,0.492482,-2.27755,-18.4864,2.72593917425,137517.355394959,safeinsure,SINS,[],1246331.2169989
462,64487223.4541117,463,2014-02-28T00:00:00.000Z,170,2018-12-09T00:54:04.000Z,,BlackCoin,14,,,,,,2018-12-09T00:54:04.000Z,2846787.0641838475,-3.80763,-9.43443,-13.4823,0.0441449780546,519513.428352013,blackcoin,BLK,[],64487223.4541117
463,15703272.0,464,2018-08-07T00:00:00.000Z,3065,2018-12-09T00:53:31.000Z,,ICE ROCK MINING,1,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:31.000Z,2847654.1135491594,0.0135007,-2.63965,-25.0103,0.181341449957,4861.00586679256,ice-rock-mining,ROCK2,[],15724272.0
464,444065602.07529,465,2018-11-21T00:00:00.000Z,3612,2018-12-09T00:53:37.000Z,,Business Credit Alliance Chain,4,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:37.000Z,2830060.160791617,4.83353,4.78706,-10.7915,0.00637306773496,154872.963467383,business-credit-alliance-chain,BCAC,[],2200000000.0
465,105060458.086533,466,2015-08-26T00:00:00.000Z,1044,2018-12-09T00:54:05.000Z,,Global Currency Reserve,1,,,,,,2018-12-09T00:54:05.000Z,2825663.7153703435,-0.798071,-2.42882,-29.1094,0.0268955967529,5641.90084258442,global-currency-reserve,GCR,[],105060458.086533
466,719935315.1881,467,2018-01-12T00:00:00.000Z,2375,2018-12-09T00:53:19.000Z,,QunQun,10,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:19.000Z,2806792.625715815,-0.065805,-0.869544,-17.3058,0.00389867334815,100551.781702042,qunqun,QUN,[],1500000000.0
467,7001622.64879442,468,2017-05-17T00:00:00.000Z,1677,2018-12-09T00:54:12.000Z,7001623.0,Etheroll,2,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:54:12.000Z,2809051.672550635,0.162808,-5.94707,6.11207,0.4012000951,11568.3225158945,etheroll,DICE,[],7001622.64879442
468,85978873.0,469,2017-09-09T00:00:00.000Z,1949,2018-12-09T00:53:15.000Z,,Agrello,8,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:15.000Z,2797294.4455435243,0.201265,-1.83665,-32.1572,0.0325346721577,114449.331346728,agrello-delta,DLT,[],130271020.0357
469,686199240.987417,470,2018-06-11T00:00:00.000Z,2856,2018-12-09T00:53:27.000Z,,CEEK VR,7,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:27.000Z,2792334.8215610147,0.282793,-3.7894,-14.3566,0.00406927704779,85291.3909231291,ceek-vr,CEEK,[],1000000000.0
